Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	EOL
1100	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	50	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1110	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	50	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1120	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1130	300000	300000	300000	300000	400000	400000	500000	500000	0	50	0	0	66	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1140	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	50	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1150	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	100	1014000	202	0	39000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1160	300000	300000	300000	300000	400000	400000	500000	500000	33	0	0	0	0	0	0	0	1014000	202	0	38000	39000	39000	0	0	0	0	0	4266250	748750	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1170	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	845000	202	0	38000	39000	39000	0	0	0	0	0	4261250	685937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1180	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	38000	39000	39000	0	0	0	0	0	4261250	685937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1190	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	33	0	845000	202	0	38000	39000	39000	0	0	0	0	0	4261250	685937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1200	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	50	0	0	546000	202	0	38000	39000	39000	0	0	0	0	0	4261250	685937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
1210	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	38000	39000	39000	0	0	0	0	0	4261250	685937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
